beta,outlierRatio,repeat,seed,Ncorr,Ns,trueTLS,bestASBS_TLS,bestRandom_TLS,bestASBS_rotErrDeg,bestRandom_rotErrDeg,medianSample_rotErrDeg,fracSamplesBelow5Deg,fracSamplesBelow10Deg,activeCount,trueInliersActive,trueOutliersClipped,lossUFinal,lossHFinal,bestTrainFinal,bestTrainOverall
0.25,0.85,1,186125,1000,500,6836.58648725718,6847.75049487753,7368.61303598451,2.01523169784989,17.7107846943917,16.3826907240796,0.016,0.176,165,147,832,224325.59375,11.833215713501,6848.64203823509,6835.95675552163
0.25,0.85,1,186125,1000,1000,6836.58648725718,6847.75049487753,7368.61303598451,2.01523169784989,17.7107846943917,16.7474286785744,0.02,0.156,165,147,832,224325.59375,11.833215713501,6848.64203823509,6835.95675552163
0.25,0.85,1,186125,1000,2500,6836.58648725718,6847.75049487753,7274.91409300558,2.01523169784989,13.612009937039,16.7043315563381,0.022,0.1608,165,147,832,224325.59375,11.833215713501,6848.64203823509,6835.95675552163
0.25,0.85,1,186125,1000,5000,6836.58648725718,6838.10124050947,7274.91409300558,1.21409209504786,13.612009937039,16.5575127031745,0.0244,0.1616,165,148,833,224325.59375,11.833215713501,6848.64203823509,6835.95675552163
0.25,0.85,1,186125,1000,10000,6836.58648725718,6837.60234331136,6846.45667495768,1.26405741298691,2.19807597632897,16.6038314030924,0.0281,0.1669,167,149,832,224325.59375,11.833215713501,6848.64203823509,6835.95675552163
0.5,0.85,1,186150,1000,500,6885.33068739953,6884.03091411847,7214.19429458308,0.643514542243171,12.2260976744555,15.7887869001333,0.034,0.182,161,148,837,812571.9375,11.8667316436768,6884.42576809654,6883.23511930163
0.5,0.85,1,186150,1000,1000,6885.33068739953,6884.03091411847,7214.19429458308,0.643514542243171,12.2260976744555,15.7682855635511,0.029,0.179,161,148,837,812571.9375,11.8667316436768,6884.42576809654,6883.23511930163
0.5,0.85,1,186150,1000,2500,6885.33068739953,6884.03091411847,7214.19429458308,0.643514542243171,12.2260976744555,15.7982345913113,0.028,0.1732,161,148,837,812571.9375,11.8667316436768,6884.42576809654,6883.23511930163
0.5,0.85,1,186150,1000,5000,6885.33068739953,6884.03091411847,7022.81790161755,0.643514542243171,7.7685746711253,15.8925457066438,0.026,0.1776,161,148,837,812571.9375,11.8667316436768,6884.42576809654,6883.23511930163
0.5,0.85,1,186150,1000,10000,6885.33068739953,6883.33669930889,6953.79050288166,1.01367951353667,5.36566460364585,15.8003072627278,0.0283,0.1847,161,148,837,812571.9375,11.8667316436768,6884.42576809654,6883.23511930163
1,0.85,1,186200,1000,500,6883.64680141307,6885.49294815623,7665.11142144338,1.6544609176139,175.84882423641,15.7573658668063,0.022,0.18,164,148,834,3246437.25,11.7749338150024,6894.92171223236,6881.7562813979
1,0.85,1,186200,1000,1000,6883.64680141307,6885.49294815623,7622.84337647236,1.6544609176139,28.5307456836404,15.7241591383557,0.03,0.19,164,148,834,3246437.25,11.7749338150024,6894.92171223236,6881.7562813979
1,0.85,1,186200,1000,2500,6883.64680141307,6884.29195857204,6964.58926552623,0.93647477190738,5.18898458186629,15.6055053507646,0.0312,0.1928,164,147,833,3246437.25,11.7749338150024,6894.92171223236,6881.7562813979
1,0.85,1,186200,1000,5000,6883.64680141307,6882.91841320482,6964.58926552623,0.296913597052393,5.18898458186629,15.5993959017237,0.028,0.203,165,149,834,3246437.25,11.7749338150024,6894.92171223236,6881.7562813979
1,0.85,1,186200,1000,10000,6883.64680141307,6882.91841320482,6964.58926552623,0.296913597052393,5.18898458186629,15.4913037958116,0.0312,0.1992,165,149,834,3246437.25,11.7749338150024,6894.92171223236,6881.7562813979
2,0.85,1,186300,1000,500,6857.10952139556,6870.43859792204,7600.22813524018,2.58183062256754,22.6618984948686,16.4962349809354,0.034,0.2,161,148,837,13510341,11.897608757019,6865.684379273,6855.58436067541
2,0.85,1,186300,1000,1000,6857.10952139556,6870.43859792204,7040.79949497335,2.58183062256754,8.76333522979815,16.0543892728235,0.026,0.174,161,148,837,13510341,11.897608757019,6865.684379273,6855.58436067541
2,0.85,1,186300,1000,2500,6857.10952139556,6861.48047718108,6992.07161547997,2.08743828093449,6.65168274953167,15.9361592592217,0.0268,0.1852,164,149,835,13510341,11.897608757019,6865.684379273,6855.58436067541
2,0.85,1,186300,1000,5000,6857.10952139556,6858.46245302005,6992.07161547997,0.901899661207209,6.65168274953167,15.7847517499803,0.0296,0.1956,162,149,837,13510341,11.897608757019,6865.684379273,6855.58436067541
2,0.85,1,186300,1000,10000,6857.10952139556,6858.46245302005,6992.07161547997,0.901899661207209,6.65168274953167,15.7122970682817,0.0298,0.1949,162,149,837,13510341,11.897608757019,6865.684379273,6855.58436067541
4,0.85,1,186500,1000,500,6857.54617265085,6870.68941496684,7546.68922978186,2.92651430325804,21.917588954914,16.5511981156524,0.028,0.164,168,146,828,61179544,11.6907997131348,6860.8628205747,6854.70837526251
4,0.85,1,186500,1000,1000,6857.54617265085,6870.68941496684,7397.80239515525,2.92651430325804,16.4309835586776,16.0031483114512,0.03,0.191,168,146,828,61179544,11.6907997131348,6860.8628205747,6854.70837526251
4,0.85,1,186500,1000,2500,6857.54617265085,6859.61761194557,7319.44417350736,1.61842847757233,17.5172505961633,15.4543708487058,0.0296,0.2084,165,145,830,61179544,11.6907997131348,6860.8628205747,6854.70837526251
4,0.85,1,186500,1000,5000,6857.54617265085,6856.84798414667,7291.10309161598,1.34045076520731,16.3769713782469,15.4442132433517,0.0284,0.2002,165,145,830,61179544,11.6907997131348,6860.8628205747,6854.70837526251
4,0.85,1,186500,1000,10000,6857.54617265085,6856.84798414667,6961.61518456722,1.34045076520731,6.39844478663365,15.329299498804,0.0304,0.1993,165,145,830,61179544,11.6907997131348,6860.8628205747,6854.70837526251
0.25,0.25,2,226125,1000,500,3402.99273142695,3461.53109790638,4859.66665286906,2.22502448707562,10.8018251340394,15.4015724811177,0.03,0.192,733,730,247,5169528.5,11.7368793487549,3493.00677627057,3402.38090944863
0.25,0.25,2,226125,1000,1000,3402.99273142695,3409.54829571323,4859.66665286906,0.887425178755144,10.8018251340394,15.5904537486416,0.031,0.201,733,731,248,5169528.5,11.7368793487549,3493.00677627057,3402.38090944863
0.25,0.25,2,226125,1000,2500,3402.99273142695,3409.54829571323,4311.82322618063,0.887425178755144,8.28990576294053,15.7151609795777,0.032,0.1956,733,731,248,5169528.5,11.7368793487549,3493.00677627057,3402.38090944863
0.25,0.25,2,226125,1000,5000,3402.99273142695,3409.54829571323,4311.82322618063,0.887425178755144,8.28990576294053,15.7308478091036,0.03,0.1908,733,731,248,5169528.5,11.7368793487549,3493.00677627057,3402.38090944863
0.25,0.25,2,226125,1000,10000,3402.99273142695,3409.54829571323,4083.49358720387,0.887425178755144,7.39908581710948,15.7506278087198,0.0292,0.1908,733,731,248,5169528.5,11.7368793487549,3493.00677627057,3402.38090944863
